11303142,10.56,16.35
11458375,18.51,21.68
11531675,10.99,16.11
11587650,10.76,14.92
12880478,24.61,30.2
12949685,26.89,30.96
12968942,18.72,22.47
13045439,20.24,24
13174473,29.75,35.68
13201627,18.12,24.09
13258730,19.61,24.99
14366464,10.12,15.81
14375908,15.24,19.87
14379934,29.7,33.17
14578137,16.99,21.27
14599689,21.52,26.55
14698138,15.68,21.08
14947415,16.17,21.1
15039599,21.53,26.95
15183855,24.59,29.8
15276046,15.72,19.42
15388347,27.85,32.62
15431795,15.33,19.15
15495526,16.2,20.47
15555649,18.67,22.08
15917508,28.92,31.96
15963630,29.36,32.93
16224831,11.63,16.47
16618211,17.44,20.78
16643747,20.8,26.65
16768461,10.07,15.28
17103483,24.1,27.36
17327188,23.79,28.18
17358405,15.82,21.08
17461679,10.76,16.74
17559533,24.91,30.57
17692750,18.54,23.26
17800899,22.2,26.01
18059483,13.66,17.57
18082546,23.34,29.03
18398033,29.16,32.22
18422552,22.06,27.26
18659990,15.01,20.76
18870895,22.8,26.5
18977685,16.39,20.36
18982295,21.43,25.71
19103941,25.55,28.79
19121129,11.37,14.84
19784361,18.19,21.2
20766559,17.28,21.88
21094940,12.59,17.31
21098319,16.73,20.84
21291543,21.88,27.76
21314622,18.99,24.19
21323997,12.74,16.19
21340084,23.88,29.4
21390393,10.14,14.09
21523085,18.54,22.9
21552284,10.4,15.18
22142782,17.65,21.8
22217524,10.94,15.56
22231544,23.11,28.16
22307784,14.22,19.97
22387159,13.54,19.15
22442765,14.24,18.39
22662424,11.84,15.28
22877827,16.46,21.19
22971931,17.84,23.59
23026496,20.95,24.9
23132529,24.77,28.34
23180207,21.63,25.79
23375463,15.85,20.15
23842706,10.92,14.54
24388225,17.9,22.64
24467721,15.72,21.71
24718062,24.71,30.57
24955147,15.08,20.76
25372090,17.27,22.99
25725760,26.82,32.17
26383509,22.91,27.15
26782989,17.16,20.93
26923610,21.7,25.06
27176633,12.76,16.22
27240862,28.12,31.28
27270146,23.52,27.65
27470967,16.17,20.36
27572106,25.71,31.56
27640169,10.52,15.35
27972823,28.73,32.17
28062267,14.68,18.06
28069210,12.45,16.94
28166727,17.58,23.34
28232368,19.07,23.98
28342656,26.18,30.82
28458648,19.67,22.73
28560733,29.66,34.8
28810429,29.49,33.01
29022294,14.43,18.23
29134137,13.61,18.81
29257517,10.76,13.93
29435965,25.28,31.23
29691501,22.78,28.28
29884085,26.47,30.46
30174319,29.51,33.43
30418386,23.72,28.11
30739126,27.83,33.29
31050885,18.33,21.95
31081490,20.71,24.06
31187804,20.23,25.46
31353041,21.82,27.67
31396612,15.52,21.11
31641263,20.95,26.17
31650412,28.82,32.43
31665020,15.76,18.78
31761910,17.84,23.01
31803679,23.14,26.61
31917171,23.27,27.29
32216703,23.12,28.83
32407988,28.85,34.65
32728517,15.43,19.58
32827437,20.49,24.73
32895121,28.99,32.57
32913509,11.94,16.43
32945551,21.25,26.1
33429908,26.09,30.14
33483040,24.25,28.48
33686751,20.1,23.74
34092153,23.76,29.2
34171236,24.01,29.29
34189844,16.77,20.93
34307586,18.2,24.14
34311148,12.77,18.19
34389249,17.68,22.58
34549045,13.67,16.67
